SKU,Original Name,Similarity Score,Image Source URL,Saved Filename,Status
E6C346,,100,https://ae01.alicdn.com/kf/S28ab2808287d488e82d490dc0ceba002z/The-Encoder-new-original-E6C-NN5C.jpg,E6C346.jpg,Success
ADE679,,100,https://imgv2-2-f.scribdassets.com/img/document/471820838/original/efa3919dc5/1719688280?v=1,ADE679.jpg,Success
AD0A8A,,100,https://i.ytimg.com/vi/3LG7LDR3XmM/maxresdefault.jpg,AD0A8A.jpg,Success
79AD0E,,100,https://ph-live-01.slatic.net/p/40110eb322ea31529bafcde16ff97fb9.jpg,79AD0E.jpg,Success
E2255F,,100,https://gf.lnwfile.com/28gn1z.jpg,E2255F.jpg,Success
D6BFDB,,100,https://i.ytimg.com/vi/YrDt9iiWG70/maxresdefault.jpg,D6BFDB.jpg,Success
9A35B9,,0,,,Failed
0134A5,,0,,,Failed
B43A77,,0,,,Failed
87BB74,,0,,,Failed
2F0E7E,,0,,,Failed
C8B0E8,,0,,,Failed
3A41E5,,0,,,Failed
AEF5C4,,0,,,Failed
676B98,1.5oz Island Whole Pimento,0,,,Failed
31D926,1.7oz Aveeno Positively Radiant Night Cream,81.08108108108108,https://images.ctfassets.net/f3tkdizvrgki/7vcYbeOvFMeoE3BvK2rXT7/372a89554797ac866dbe123d7418f055/q1_23_062600963901_new_av_1280x1280v2-bil.jpg,17oz_Aveeno_Positively_Radiant_Night_Cream.jpg,Success
4CD27E,1/2 Gallon Cherry Juice,0,,,Failed
B3295C,1/2 Gallon Fruit Punch,0,,,Failed
4B00DE,1/2 SIZE STEAM Foil Pan,0,,,Failed
3CBAF7,"10"" Rake Handle Styling Comb",89.28571428571429,"https://static.wixstatic.com/media/3fd49b_828f6d89dedb4c04a317949004cad1e2~mv2.webp/v1/fit/w_500,h_500,q_90/file.webp",10_Rake_Handle_Styling_Comb.jpg,Success
516297,100 FT Diamond Plastic Wrap*12 30%free,0,,,Failed
58705C,100% CAPRISUN JUICE,0,,,Failed
D4B982,100% Welchs Juice Assorted 64oz/1.9L,0,,,Failed
FDFC92,100FT HouseKeeper Plas/Wrap,0,,,Failed
257F30,100g Blue Power Super White*48,84.61538461538461,https://shopsampars.b-cdn.net/wp-content/uploads/2022/07/BLUE-POWER-SUPER-WHITE-LAUNDRY-BAR-100G-509x550.jpg,100g_Blue_Power_Super_White48.jpg,Success
56D4BD,100pk Cotton Wool Balls,85.0,https://www.cowens.co.uk/wp-content/uploads/2018/01/BP-Large-Cotton-Wool-Balls.jpg,100pk_Cotton_Wool_Balls.jpg,Success
E93FDC,102ml Lander Baby Oil,83.33333333333334,https://149622644.v2.pressablecdn.com/wp-content/uploads/2022/06/Baby-oil-14-oz-700-×-700-px.png,102ml_Lander_Baby_Oil.jpg,Success
2F4A3F,102ml Lander Baby Shampoo,82.6086956521739,"https://static.wixstatic.com/media/652d98_d7756f6e0d7041ad8cd15ddc03f4c037~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",102ml_Lander_Baby_Shampoo.jpg,Success
ECECD5,10KG Daawat Basmati Rice,88.37209302325581,https://www.graciousmart.sg/image/cache/catalog/daawat-1200x800.jpg,10KG_Daawat_Basmati_Rice.jpg,Success
9BA9A4,10KG Golden Jasmine Rice,0,,,Failed
4B551E,10lbs Alberto White Rice *6,82.6086956521739,https://mastermacfood.com/wp-content/uploads/2021/11/ALBERTO-WHITE-RICE-5LB.jpg,10lbs_Alberto_White_Rice_6.jpg,Success
AF90A6,10oz Brut Aerosol Spray,0,,,Failed
C8CCA8,10oz Fachoy Soy Sauce*12,80.0,https://images.albertsons-media.com/is/image/ABS/970043255-ECOM?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,10oz_Fachoy_Soy_Sauce12.jpg,Success
529122,10oz GRACE JERK SEAS SPICY,0,,,Failed
8E7538,10oz GRACE MILD JERK SEAS. *24,80.0,https://i5.walmartimages.com/asr/2267b06e-c864-412e-bfbd-9123d242dff1.63f92363c87d412e63eae799f1a85a40.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,10oz_GRACE_MILD_JERK_SEAS_24.jpg,Success
44588F,10oz Heinz Sweet Relish,87.8048780487805,"https://images.heb.com/is/image/HEBGrocery/000028176?fit=constrain,1&wid=800&hei=800&fmt=jpg&qlt=85,0&resMode=sharp2&op_usm=1.75,0.3,2,0",10oz_Heinz_Sweet_Relish.jpg,Success
752051,10oz Hong Kong Soy Sauce*12,83.33333333333334,https://cdn11.bigcommerce.com/s-5hlddjv6xb/images/stencil/2048x2048/products/206/431/Hong_Kong_Maiden_Chinese_Soy_Sauce_12_10_fl._oz_or_284ml__28375.1460512122.jpg?c=2,10oz_Hong_Kong_Soy_Sauce12.jpg,Success
F65BBA,10oz Jergens Lotion 10floz,0,,,Failed
BACDFD,10oz PowerHouse Spray Starch,100.0,https://dollar-king.net/media/catalog/product/cache/b20c413cf0d2e646e6eddaea01126e5a/n/e/new8142434_1.jpg,10oz_PowerHouse_Spray_Starch.jpg,Success
5318C5,10oz PURE Ketchup 24*10oz,0,,,Failed
