SKU,Images,"Meta: bacola_post_views_count","Meta: klb_product_badge_type","Meta: _alg_wc_wholesale_pricing_per_product_enabled","Meta: _alg_wc_wholesale_pricing_discount_type","Meta: _alg_wc_wholesale_pricing_levels_number","Meta: send_coupons_on_renewals","Meta: _klb_single_video_input","Meta: _monsterinsights_sitenote_active","Meta: om_disable_all_campaigns"
E6C346,,22,,,,,,,,
ADE679,,28,,,,,,,,
AD0A8A,,22,,,,,,,,
79AD0E,,24,,,,,,,,
E2255F,,27,,,,,,,,
D6BFDB,,19,,,,,,,,
9A35B9,,30,,,,,,,,
0134A5,,35,,,,,,,,
B43A77,,38,,,,,,,,
87BB74,,31,,,,,,,,
2F0E7E,,29,,,,,,,,
C8B0E8,,35,,,,,,,,
3A41E5,,28,,,,,,,,
AEF5C4,,34,,,,,,,,
676B98,,36,,,,,,,,
31D926,,29,,,,,,,,
4CD27E,,26,,,,,,,,
B3295C,,39,,,,,,,,
4B00DE,,35,,,,,,,,
3CBAF7,,23,,,,,,,,
516297,,17,,,,,,,,
58705C,,30,,,,,,,,
D4B982,,35,,,,,,,,
FDFC92,,31,,,,,,,,
257F30,,9,,,,,,,,
56D4BD,,12,,,,,,,,
E93FDC,,9,,,,,,,,
2F4A3F,,11,,,,,,,,
ECECD5,,34,,,,,,,,
9BA9A4,,56,,,,,,,,
4B551E,,39,,,,,,,,
AF90A6,,6,,,,,,,,
C8CCA8,,15,,,,,,,,
529122,,4,,,,,,,,
8E7538,,6,,,,,,,,
44588F,,7,,,,,,,,
752051,,10,,,,,,,,
F65BBA,,3,,,,,,,,
BACDFD,,2,,,,,,,,
5318C5,,7,,,,,,,,
CE63CC,,1,,,,,,,,
33D060,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/Curves_Onernight_Maxi_Wings_10_2s_tagged__23792_zoom.jpg,48,type1,no,percent,0,no,,0,
1E1304,,3,,,,,,,,
FBA605,,8,,,,,,,,
9F2F39,,8,,,,,,,,
6289F8,,14,,,,,,,,
38842B,,5,,,,,,,,
4EDE59,,22,,,,,,,,
005115,,5,,,,,,,,
8E5CB4,,10,,,,,,,,
CBCADF,,6,,,,,,,,
9ECE95,,8,,,,,,,,
AD703C,,3,,,,,,,,
113B0F,,8,,,,,,,,
AAED40,,3,,,,,,,,
73C8B7,,9,,,,,,,,
422DDF,,7,,,,,,,,
FCAB74,,3,,,,,,,,
05D289,,10,,,,,,,,
649822,,9,,,,,,,,
2A0209,,10,,,,,,,,
221D69,,3,,,,,,,,
B24FE5,,6,,,,,,,,
934C9F,,4,,,,,,,,
3DBFCA,,10,,,,,,,,
126C2F,,19,,,,,,,,
40A062,,7,,,,,,,,
F6883F,,10,,,,,,,,
