SKU,Images,Meta: bacola_post_views_count,Meta: klb_product_badge_type,Meta: _alg_wc_wholesale_pricing_per_product_enabled,Meta: _alg_wc_wholesale_pricing_discount_type,Meta: _alg_wc_wholesale_pricing_levels_number,Meta: send_coupons_on_renewals,Meta: _klb_single_video_input,Meta: _monsterinsights_sitenote_active,Meta: om_disable_all_campaigns,Image Source URL,Saved Filename,Status
E6C346,,22.0,,,,,,,,,https://mastermacfood.com/wp-content/uploads/2025/01/STR8-VYBZ-UNSTOPPABLE-DARK-RUM-375ML.jpg,1_Liter_Str8_Vybz_Unstoppable_Dark_Rum12.jpg,Success
ADE679,,28.0,,,,,,,,,https://windwardroad.gibbotrading.com/wp-content/uploads/sites/3/2023/01/1-Size-Blk-Greenpak-Stocking.jpg,1_Size_Black_Greenpak_Stocking.jpg,Success
AD0A8A,,22.0,,,,,,,,,,,Failed
79AD0E,,24.0,,,,,,,,,,,Failed
E2255F,,27.0,,,,,,,,,https://windwardroad.gibbotrading.com/wp-content/uploads/sites/3/2023/01/1-Size-Blk-Greenpak-Stocking.jpg,1_Size_Off_Black_Greenpak_Stocking.jpg,Success
D6BFDB,,19.0,,,,,,,,,https://windwardroad.gibbotrading.com/wp-content/uploads/sites/3/2023/01/sali.jpg,1_SaliRes_Acne_Soldanzaution_200ml.jpg,Success
9A35B9,,30.0,,,,,,,,,,,Failed
0134A5,,35.0,,,,,,,,,,,Failed
B43A77,,38.0,,,,,,,,,"https://static.wixstatic.com/media/0a692a_228acf50e89347828221264edcafe6dc~mv2_d_1872_3543_s_2.jpg/v1/fill/w_996,h_1496,al_c,q_85,usm_0.66_1.00_0.01/0a692a_228acf50e89347828221264edcafe6dc~mv2_d_1872_3543_s_2.jpg",14L_Downy_Pureza_Silvestre.jpg,Success
87BB74,,31.0,,,,,,,,,https://www.shopsampars.com/wp-content/uploads/2014/12/DSC_3450-e1427307441252.jpg,15oz_Island_Spice_Crushed_Pepper.jpg,Success
2F0E7E,,29.0,,,,,,,,,https://www.shopsampars.com/wp-content/uploads/2014/12/DSC_3491-e1427394262345.jpg,15oz_Island_Spice_Jamaican_Curry_Powder.jpg,Success
C8B0E8,,35.0,,,,,,,,,http://cdn.shopify.com/s/files/1/0493/3061/8524/products/island-spice-pack-final_1200x1200.jpg?v=1602604662,15oz_Island_Spice_MSG.jpg,Success
3A41E5,,28.0,,,,,,,,,,,Failed
AEF5C4,,34.0,,,,,,,,,https://spiceislands.com/wp-content/uploads/product-17324002030-600x600.png,15oz_Island_Spice_Paprika.jpg,Success
676B98,,36.0,,,,,,,,,,,Failed
31D926,,29.0,,,,,,,,,,,
